CLIENT_ID,FIRST_NAME,LAST_NAME,GENDER,AGE,DATE_OF_BIRTH
1,John,Doe,Male,34,1990-03-12
2,Jane,Smith,Female,28,1996-01-20
3,Alex,Johnson,Other,41,1983-07-11
4,Emily,Davis,Female,22,2002-09-15
5,Michael,Brown,Male,45,1979-12-05
6,Sarah,Miller,Female,38,1986-04-03
7,David,Wilson,Male,29,1995-10-22
8,Laura,Moore,Female,33,1991-06-17
9,Chris,Taylor,Other,26,1998-08-08
10,Anna,Anderson,Female,31,1993-02-14
11,Brian,Thomas,Male,39,1985-11-09
12,Grace,Jackson,Female,24,2000-05-19
13,Daniel,White,Male,27,1997-04-25
14,Sophia,Harris,Female,30,1994-03-03
15,Ethan,Martin,Male,36,1988-09-30
16,Olivia,Thompson,Female,40,1984-07-07
17,Liam,Garcia,Male,35,1989-06-01
18,Mia,Martinez,Female,21,2003-11-12
19,Noah,Robinson,Male,23,2001-01-01
20,Chloe,Clark,Female,32,1992-08-18
